"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lama5",2791.62891101627,-0.746862168165862,0.08862600061873,-8.4271225481433,3.54268785602706e-17,2.59790361465116e-15
"Mapk10",544.96635531503,-0.779460272449062,0.092600661162892,-8.41743744224384,3.84808639741804e-17,2.80582345102646e-15
"Chl1",74.6750303606313,-1.86978076428447,0.222243789786788,-8.41319690452662,3.98984364291243e-17,2.89274934855905e-15
"Cd151",4898.26808347741,0.479069867421038,0.0569626921894887,8.41023921108561,4.09175363916318e-17,2.94997047479669e-15
"Triqk",84.4127288629803,1.09310682898069,0.13001808545891,8.40734444844712,4.19398031564927e-17,3.00677929557135e-15
"Poln",105.262941011872,1.74230045402832,0.207305459882394,8.40450827979515,4.29657987428455e-17,3.06322275148298e-15
"Herc1",1646.0541004835,-0.634111315660385,0.075499895259755,-8.39883702459116,4.50922129490451e-17,3.19706281091213e-15
"Ap1s2",580.599127920668,0.512550784859414,0.061078654996412,8.39165146792317,4.79360224552351e-17,3.38001635257161e-15
"Smad1",855.45454106764,-0.90093902062052,0.107590449433294,-8.37378248130752,5.57977087057344e-17,3.91285243617863e-15
"Sdhaf1",471.903246677575,0.710913129632378,0.0850936046915198,8.35448365608169,6.57195464496758e-17,4.58001192105435e-15
"Lrp6",1365.74213596062,-0.585700363775738,0.0701107095541159,-8.35393576103601,6.60252634142488e-17,4.58001192105435e-15
"Cacna2d1",4035.88518101479,-0.639184631029855,0.076607765568624,-8.34360102119523,7.20618273246853e-17,4.97187865622412e-15
"Fam149a",133.666374089921,0.815099347588322,0.097921258474983,8.32402851314012,8.50231410230242e-17,5.83476988635545e-15
"Mettl22",659.479873962299,0.619118900582807,0.074447227322924,8.31621166893568,9.08195610274615e-17,6.1994012056671e-15
"Hs6st1",983.984475904931,-0.574412127327823,0.069127633855354,-8.30944291438864,9.6152397994402e-17,6.52869694953524e-15
"Popdc2",13891.8742946466,0.351119236533721,0.0423030016451632,8.3001021884665,1.04021882261105e-16,6.98907233014012e-15
